Наименование,Инвентарный номер,Комната,Комментарий
Стол 800,55/9-1,101,
Тумба ,55/9-2,101,
Шкаф,55/9-3,101,
Гардероб,55/9-4,101,
Гардероб,55/9-5,101,
Стол 800,55/9-6,101,
Стол 800,55/9-7,101,
Тумба ,55/9-8,101,
Шкаф,55/9-9,101,
Стол 800,55/9-10,101,
Шкаф,55/9-11,101,
Стол 800,55/9-12,101,
Тумба ,55/9-13,101,
Стол 800,55/9-14,101,
Тумба ,55/9-15,102,
Стол 800,55/9-16,102,
Тумба ,55/9-17,102,
Шкаф,55/9-18,102,
Шкаф,55/9-19,102,
Стол 600,55/9-20,102,
Стол 600,55/9-21,102,
Стол 600,55/9-22,102,
Стол 600,55/9-23,103,
Тумба ,55/9-24,103,
Тумба ,55/9-25,103,
Тумба ,55/9-26,103,
Тумба ,55/9-27,103,
Шкаф,55/9-28,103,
Тумба ,55/9-29,103,
Гардероб,55/9-30,103,
Гардероб,55/9-31,103,
Стол 400,55/9-32,103,
Стол 700,55/9-33,103,
Стол 700,55/9-34,103,
Стол 700,55/9-35,103,
Стол 700,55/9-36,103,
Стол 700,55/9-37,103,
Стол 700,55/9-38,103,
Тумба,55/9-39,103,
Шкаф,55/9-40,103,
Шкаф,55/9-41,103,
Шкаф,55/9-42,105,
Шкаф,55/9-43,105,
Шкаф,55/9-44,105,
Шкаф,55/9-45,105,
Стол 400,55/9-46,105,
Стол 400,55/9-47,105,
Тумба,55/9-48,105,
Тумба,55/9-49,105,
Шкаф,55/9-50,105,
Шкаф,55/9-51,105,
Брифинг-приставка,55/9-52,105,
Гардероб,55/9-53,105,
Стол рук-ля,55/9-54,105,
Шкаф низкий,55/9-55,105,
Шкаф низкий,55/9-56,105,
Стол 700,55/9-57,105,
Стол 700,55/9-58,105,
Стол 800,55/9-59,105,
Стол 800,55/9-60,105,
Стол 800,55/9-61,105,
Стол 800,55/9-62,105,
Стол 800,55/9-63,105,
Тумба,55/9-64,105,
Тумба,55/9-65,105,
Тумба,55/9-66,105,
Тумба,55/9-67,105,
Тумба,55/9-68,105,
Тумба,55/9-69,105,
Тумба,55/9-70,Коридор 1,
Стол 800,55/9-71,Лестница 1,
